what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1401556047610
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1401556053272
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1401556054960
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1401556057090
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1401556057245
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1401556057407
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1401556057964
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1401556058065
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401556064897
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401556067657
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1401556079605
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1401556079997
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401556080233
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1401556080882
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401556080906
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401556081342
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1401556081372
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401556081388
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1401556086509
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401556086781
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401556086883
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1401556087367
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401556087636
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1401556089126
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401556089476
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401556089541
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401556092671
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401556733655
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1401556740437
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1401556745004
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401556749922
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401556759906
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1401556765006
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401556765406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401556767882
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1401556772049
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401556774779
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401556780756
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401556782403
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401556782542
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401556784574
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401556784576
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401556786770
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401556864586
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401556867267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401556868974
activated,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1401556870811
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401556871039
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401557590117
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401557591706
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401557633343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401557635802
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401557668699
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401557669385
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401557851327
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401557853163
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401558307212
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401558310470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401558312002
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401558313506
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1401558320818
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1401558321280
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1401558321305
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1401558321411
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1401558321419
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1401558321443
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1401661417364
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1401661417365
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1401661417366
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1401661417378
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1401661417379
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1401661417389
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1401661417390
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1401661417402
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1401661417402
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1401661417402
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1401661417445
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1401661417445
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1401661417468
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1401661417497
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1401661417498
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1401661417511
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1401661417511
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1401661417512
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1401661417555
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1401661417572
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1401661417572
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1401661417573
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1401661417573
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1401661417573
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1401661417574
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1401661417574
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1401661417575
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1401661417632
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1401661417670
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1401661417671
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1401661417674
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1401661417711
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1401661417714
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1401661417715
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1401661417726
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1401661417726
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1401661417728
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1401661417807
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1401661417808
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1401661417817
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1401661417819
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1401661417868
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1401661417917
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1401661417917
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1401661417981
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20100505,"org.eclipse.jdt.launching.macosx",1401661417982
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1401661417982
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1401661417993
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1401661417994
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1401661418011
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1401661418097
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1401661418098
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1401661418129
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1401661418129
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1401661418165
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1401661418166
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1401661418374
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1401661418374
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1401661418460
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1401661418461
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1401661418581
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1401661418612
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1401661418616
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1401661418666
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1401661418700
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1401661418759
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1401661418778
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1401661418778
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1401661418789
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1401661418811
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1401661418875
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1401661418876
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1401661418885
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1401661418941
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1401661418942
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1401661418983
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1401661419001
started,bundle,net.sf.eclipsecs.core,5.1.1.201008161956,"net.sf.eclipsecs.core",1401661419001
started,bundle,net.sf.eclipsecs.ui,5.1.1.201008161956,"net.sf.eclipsecs.ui",1401661419049
started,bundle,net.sf.webcat.eclipse.cxxtest,1.7.0,"net.sf.webcat.eclipse.cxxtest",1401661419050
started,bundle,net.sf.webcat.eclipse.submitter,1.4.3.201101121126,"net.sf.webcat.eclipse.submitter",1401661419071
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1401661419136
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1401661419189
os,sysinfo,,,"macosx",1401661419192
arch,sysinfo,,,"x86",1401661419192
ws,sysinfo,,,"cocoa",1401661419192
locale,sysinfo,,,"en_US",1401661419192
processors,sysinfo,,,"4",1401661419192
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1401661419192
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1401661419192
java.specification.name,sysinfo,,,"Java Platform API Specification",1401661419192
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1401661419192
java.specification.version,sysinfo,,,"1.6",1401661419192
java.vendor,sysinfo,,,"Apple Inc.",1401661419192
java.version,sysinfo,,,"1.6.0_65",1401661419192
java.vm.info,sysinfo,,,"mixed mode",1401661419192
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1401661419192
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1401661419192
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1401661419192
java.vm.specification.version,sysinfo,,,"1.0",1401661419192
java.vm.vendor,sysinfo,,,"Apple Inc.",1401661419192
java.vm.version,sysinfo,,,"20.65-b04-462",1401661419192
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401661419253
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401661434730
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1401661434808
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401661434811
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401661434867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401661434946
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1401661440293
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1401661440293
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1401661440501
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1401661440503
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1401661471900
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401661473117
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401661491273
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401661509226
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401661512986
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401661514027
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401661539577
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401664477079
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401664487971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401673803795
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401673804190
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401673812786
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401673813651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401681028162
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401681031062
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401684549318
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401684560267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401686753017
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401686756635
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401740201742
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401740203389
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401740205099
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401740216618
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1401740240714
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1401740242532
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1401740242681
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1401740242683
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1401740242755
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1401740242778
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1401740242801
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1401740242801
stopped,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1401740242801
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1401740242846
stopped,bundle,edu.duke.cs.ambient.checkin,2.1.3,"edu.duke.cs.ambient.checkin",1401740242903
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1402525257386
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1402525257402
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1402525257420
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1402525257444
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1402525257454
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1402525257474
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1402525257485
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1402525257509
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1402525257537
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1402525257561
